Institución - Código;Institución;Institución - Corto
33;Universidad de Buenos Aires;Buenos Aires
34;Universidad Nacional de Catamarca;Catamarca
35;Universidad Nacional del Centro de la Provincia de Buenos Aires;Centro de la PBA
36;Universidad Nacional del Comahue;Comahue
37;Universidad Nacional de Córdoba;Córdoba
38;Universidad Nacional de Cuyo;Cuyo
39;Universidad Nacional de Entre Ríos;Entre Ríos
40;Universidad Nacional de Jujuy;Jujuy
41;Universidad Nacional de La Pampa;La Pampa
42;Universidad Nacional de la Patagonia San Juan Bosco;Patagonia S. J. Bosco
43;Universidad Nacional de La Plata;La Plata
44;Universidad Nacional del Litoral;Litoral
45;Universidad Nacional de Lomas de Zamora;Lomas de Zamora
46;Universidad Nacional de Luján;Luján
47;Universidad Nacional de Mar del Plata;Mar del Plata
48;Universidad Nacional de Misiones;Misiones
49;Universidad Nacional del Nordeste;Nordeste
50;Universidad Nacional de Río Cuarto;Río Cuarto
51;Universidad Nacional de Rosario;Rosario
52;Universidad Nacional de Salta;Salta
53;Universidad Nacional de San Juan;San Juan
54;Universidad Nacional de San Luis;San Luis
55;Universidad Nacional de Santiago del Estero;Santiago del Estero
56;Universidad Nacional del Sur;Sur
57;Universidad Tecnológica Nacional;Tecnológica Nacional
58;Universidad Nacional de Tucumán;Tucumán
59;Instituto Universitario de la Policía Federal Argentina;Policía Federal Argentina
61;Universidad Nacional de La Rioja;La Rioja
84;Universidad Nacional de Quilmes;Quilmes
85;Universidad Nacional de Formosa;Formosa
86;Universidad Nacional de La Matanza;La Matanza
87;Universidad Nacional de General Sarmiento;Gral. Sarmiento
88;Universidad Nacional de San Martín;San Martín
89;Universidad Nacional de la Patagonia Austral;Patagonia Austral
697;Universidad Nacional de Lanús;Lanús
698;Universidad Nacional de Tres de Febrero;Tres de Febrero
699;Universidad Nacional de Villa María;Villa María
2117;Universidad Autónoma de Entre Ríos;Autónoma de Entre Ríos
2157;Instituto Universitario de Seguridad Marítima;Seguridad Marítima
2158;Universidad Nacional del Noroeste de la Provincia de Buenos Aires;Noroeste de la PBA
2160;Universidad Nacional de Chilecito;Chilecito
2459;Universidad Nacional de Río Negro;Río Negro
2479;Instituto Universitario de Gendarmería Nacional;Gendarmería
2510;Universidad Nacional del Chaco Austral;Chaco Austral
2624;Universidad Nacional Arturo Jauretche;Arturo Jauretche
2625;Universidad Nacional de Avellaneda;Avellaneda
2626;Universidad Nacional de Moreno;Moreno
2631;Universidad Nacional de Villa Mercedes;Villa Mercedes
2632;Universidad Nacional del Oeste;Oeste
2633;Universidad Nacional de Tierra del Fuego, Antártida e Islas del Atlántico Sur;Tierra del Fuego
2634;Universidad Nacional José C. Paz;José C. Paz
2899;Universidad Provincial del Sudoeste;Provincial del Sudoeste
2900;Universidad Pedagógica Nacional;Pedagógica
2997;Universidad Nacional de Hurlingham;Hurlingham
3022;Universidad Provincial de Córdoba;Provincial de Córdoba
3074;Universidad de la Defensa Nacional;Defensa
3098;Instituto Universitario Nacional de Derechos Humanos "Madres de Plaza de Mayo";Madres de Plaza de Mayo
3101;Universidad Nacional de las Artes;Artes
3123;Universidad Nacional de San Antonio de Areco;San Antonio de Areco
3124;Universidad Nacional de Rafaela;Rafaela
3148;Universidad Provincial de Ezeiza;Provincial de Ezeiza
